Order,Latin_binomial,Island,Ancestor_or_closest_mainland_relative,Size_ratio,Body_mass_mainland_taxon,Body_mass_island_taxon,Log_Size_ratio,Magnitude_body_size_change,Direction_body_size_change,IUCN_Category,Source_Body_mass_and_size_ratio,Source_Ancestor_or_closest_mainland_relative,Endemism,Notes
Chiroptera,Nycteris_javanica,Java: Nusa Penida: Kangean ,Nycteris_tragata,1.229166667,14.4,17.7,0.089610774,0.089610774,gigantism,VU,Faurby et al. 2020,Griffiths 1997,yes,
Primates,Nycticebus_coucang,,,1.221493296,971,1186.069991,0.086891088,0.086891088,gigantism,EN,Island populations dataset in this study,,no,Median values from population dataset
Primates,Nycticebus_javanicus,,,0.747891284,971,726.2024367,-0.126161528,0.126161528,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Nycticebus_menagensis,,,0.715358045,971,694.6126617,-0.145476534,0.145476534,dwarfism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Nycticeius_cubanus,Cuba,Nycticeius_humeralis,0.611111111,9,5.5,-0.21387982,0.21387982,dwarfism,NT,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Nyctiellus_lepidus,Cuba: Bahamas Islands,,,,2.4,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Nyctimene_aello,New Guinea: Misool: Salawati: Kairiru,,,,84.3,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Nyctimene_albiventer,,,0.778419805,29.9,23.27475218,-0.108786123,0.108786123,dwarfism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Nyctimene_cephalotes,Sulawesi: Seram: Mangole: Sanana: Buru: Ambon: Tanimbar Islands,Nyctimene_robinsoni,0.898989899,49.5,44.5,-0.046245188,0.046245188,dwarfism,LC,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Nyctimene_certans,New Guinea: East New Britain,,,,42.1,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Nyctimene_keasti,Maluku: Kai: Tanimbar Islands: Babar Islands,Nyctimene_albiventer,1.491638796,29.9,44.6,0.17366367,0.17366367,gigantism,VU,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Nyctimene_major,,,1.081381227,104.2,112.6799239,0.033978826,0.033978826,gigantism,LC,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Nyctimene_malaitensis,Malaita: Makira,,,,75.4,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Nyctimene_minutus,Buru: Seram,,,,33.1,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Nyctimene_rabori,Cebu: Negros: Sibuyan,Nyctimene_cephalotes,1.516853933,44.5,67.5,0.180943762,0.180943762,gigantism,EN,Faurby et al. 2020,Heaney & Peterson 1984,yes,
Chiroptera,Nyctimene_vizcaccia,Bismarck Archipelago: Solomon Islands,,,,40,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Nyctophilus_microtis,New Guinea: Salawati: New Britain: New Ireland,,,,7.1,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Nyctophilus_nebulosus,New Caledonia,Nyctophilus_gouldi,1.05,10,10.5,0.021189299,0.021189299,gigantism,CR,Faurby et al. 2020,Parnaby 2009,yes,
Chiroptera,Nyctophilus_sherrini,Tasmania,Nyctophilus_gouldi,1.55,10,15.5,0.190331698,0.190331698,gigantism,VU,Faurby et al. 2020,Parnaby 2009,yes,
Rodentia,Octodon_pacificus,Mocha,Octodon_bridgesi,2,150,300,0.301029996,0.301029996,gigantism,CR,McCreless et al. 2016,Hutterer 1994,yes,
Artiodactyla,Odocoileus_hemionus,,,0.648,65038.13484,50879.48444,-0.188424994,0.188424994,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Artiodactyla,Odocoileus_virginianus,,,0.7,70000,49000,-0.15490196,0.15490196,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Monotremata,Ornithorhynchus_anatinus,,,1.266497462,1970,2495,0.102604324,0.102604324,gigantism,NT,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Oryzomys_couesi,,,2.515,69.3,174.2895,0.400537989,0.400537989,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Afrosoricida,Oryzorictes_hova,Madagascar,,,,36.5,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Osphranter_robustus,,,0.571428571,35000,20000,-0.243038049,0.243038049,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Primates,Otolemur_garnettii_garnettii,,,1.033016245,771,796.4555248,0.014107151,0.014107151,gigantism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Otomops_madagascariensis,Madagascar,Otomops_martiensseni,0.743440233,34.3,25.5,-0.12875394,0.12875394,dwarfism,LC,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Chiroptera,Otopteropus_cartilagonodus,Luzon,,,,16.8,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Otospermophilus_beecheyi,,,1.06,700,742,0.025305865,0.025305865,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Paguma_larvata,,,0.795844,4300,3422.1292,-0.099172054,0.099172054,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Palawanomys_furvus,Palawan,,,,102.5,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Panthera_tigris,,,0.9505,163000,154931.5,-0.022047879,0.022047879,dwarfism,EN,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Papagomys_armandvillei,Flores,,,,1850,,,,NT,Veatch et al. 2019,,yes,
Carnivora,Paradoxurus_hermaphroditus,,,0.9445,3200,3022.4,-0.024798038,0.024798038,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Paradoxurus_zeylonensis,Sri Lanka,Paradoxurus_jerdoni,1,2780.8,2780.8,0,0,no_change,LC,Faurby et al. 2020,Veron et al. 2015,yes,
Eulipotyphla,Paraechinus_hypomelas,,,0.766528654,585.8449361,449.0669306,-0.115471606,0.115471606,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Primates,Paragalago_zanzibaricus,,,1.014457609,147,149.1252685,0.006233904,0.006233904,gigantism,NT,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Parahydromys_asper,New Guinea,,,,540,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Paraleptomys_rufilatus,New Guinea,,,,55,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Paramelomys_gressitti,New Guinea,,,,110.2,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Paramelomys_levipes,New Guinea,,,,86.7,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Paramelomys_lorentzii,New Guinea,,,,150,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Paramelomys_mollis,New Guinea,,,,90.1,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Paramelomys_moncktoni,New Guinea,,,,95.4,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Paramelomys_naso,New Guinea: Wokam,,,,129.7,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Paramelomys_platyops,New Guinea: Cenderawasih Bay: Bismarck Archipelago: Milne Bay,,,,104.2,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Paramelomys_rubex,New Guinea,,,,46.6,,,,LC,Faurby et al. 2020,,yes,
Dasyuromorphia,Parantechinus_apicalis,,,0.6735,73.3,49.36755,-0.1716624,0.1716624,dwarfism,EN,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Paranyctimene_raptor,New Guinea: Waigeo: Salawati,,,,24.3,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Paranyctimene_tenax,New Guinea: Waigeo: Salawati,,,,31.5,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Paratriaenops_auritus,Madagascar,,,,5,,,,VU,Faurby et al. 2020,,yes,
Chiroptera,Paratriaenops_furculus,Madagascar: Cosmoledo: Aldabra Atolls,,,,5.5,,,,LC,Faurby et al. 2020,,yes,
Carnivora,Pardofelis_marmorata,,,0.678667536,3235.936569,2196.1251,-0.168342924,0.168342924,dwarfism,NT,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Paremballonura_atrata,Madagascar,,,,4.3,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Paremballonura_tiavato,Madagascar,,,,3.3,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Paruromys_dominator,Sulawesi,,,,324.9,,,,LC,Fabre et al. 2017,,yes,
Rodentia,Paulamys_naso,Flores,,,,150,,,,EN,Veatch et al. 2019,,yes,
Lagomorpha,Pentalagus_furnessi,Amami Oshima: Tokunoshima,,,,2396.3,,,,EN,Faurby et al. 2020,,yes,
Peramelemorphia,Perameles_bougainville,,,0.636432142,353.125,224.7401001,-0.196247895,0.196247895,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Peramelemorphia,Perameles_gunnii,,,1.32,750,990,0.120573931,0.120573931,gigantism,VU,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Perognathus_inornatus,,,1,25,25,0,0,no_change,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Peromyscus_caniceps,Monserrate,Peromyscus_fraterculus,1.157201646,24.3,28.12,0.063409043,0.063409043,gigantism,CR,McCreless et al. 2016,Ceballos 2014,yes,
Rodentia,Peromyscus_dickeyi,Tortuga,Peromyscus_eremicus,1.206751055,23.7,28.6,0.081617687,0.081617687,gigantism,CR,Faurby et al. 2020,Cortés-Calva & Alvarez-Castañeda 2001,yes,
Rodentia,Peromyscus_eremicus,,,1.235,30,37.05,0.091666958,0.091666958,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Peromyscus_eva,,,1.0758521,22.07490734,23.73808823,0.031752572,0.031752572,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Peromyscus_gossypinus,,,0.945,27.7,26.1765,-0.024568191,0.024568191,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Peromyscus_guardia,Angel de la Guarda: Mejia: Granito: Estanque,Peromyscus_eremicus,1.421940928,23.7,33.7,0.152881555,0.152881555,gigantism,CR,Faurby et al. 2020,Rios & Álvarez-Castañeda 2011,yes,
Rodentia,Peromyscus_interparietalis,Salsipuedes: Las Animas: San Lorenzo Norte: San Lorenzo Sur,Peromyscus_eremicus,1.181434599,23.7,28,0.072409685,0.072409685,gigantism,CR,Faurby et al. 2020,Rios & Álvarez-Castañeda 2011,yes,
Rodentia,Peromyscus_keeni,,,1.225,15,18.675,0.088136089,0.088136089,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Peromyscus_leucopus,,,1.194,25,29.85,0.077004327,0.077004327,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Peromyscus_madrensis,,,1.23,30,36.9,0.089905111,0.089905111,gigantism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Peromyscus_maniculatus,,,1.337272727,15,22.685,0.126219988,0.126219988,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Peromyscus_merriami,,,1.547,40,61.88,0.189490314,0.189490314,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Peromyscus_polionotus,,,0.95,20,19,-0.022276395,0.022276395,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Peromyscus_pseudocrinitus,Coronados,Peromyscus_crinitus,1.361111111,18,24.5,0.133893579,0.133893579,gigantism,CR,Faurby et al. 2020,Ceballos 2014,yes,
Rodentia,Peromyscus_sejugis,,,0.97,15,14.55,-0.013228266,0.013228266,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Peromyscus_slevini,Santa Catalina,Peromyscus_maniculatus,2.516431925,21.3,53.6,0.400785186,0.400785186,gigantism,CR,Faurby et al. 2020,Cortès-Calva 2002,yes,
Rodentia,Peromyscus_stephani,San Esteban,Peromyscus_boylii,1.219626168,21.4,26.1,0.086226734,0.086226734,gigantism,CR,Faurby et al. 2020,Hafner et al. 2001,yes,
Rodentia,Peromyscus_stirtoni,,,0.935,29.2,27.302,-0.029188389,0.029188389,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Peramelemorphia,Peroryctes_broadbenti,New Guinea,,,,4800,,,,EN,Faurby et al. 2020,,yes,
Peramelemorphia,Peroryctes_raffrayana,New Guinea: Yapen,,,,838.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Petaurista_hainana,,,0.743147655,2570.321358,1910.128289,-0.128924888,0.128924888,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Petaurista_leucogenys,Honshu: Shikoku: Kyushu,Petaurista_xanthotis ,0.62,1900,1178,-0.207608311,0.207608311,dwarfism,LC,Faurby et al. 2020,Li et al. 2013,yes,
Rodentia,Petaurista_petaurista,,,0.865,1540,1332.1,-0.062983893,0.062983893,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Petaurus_abidi,New Guinea,Petaurus_breviceps,2.615239887,106.3,278,0.417511531,0.417511531,gigantism,CR,Faurby et al. 2020,Jackson 2012,yes,
Diprotodontia,Petaurus_biacensis,Biak: Supiori: Owi,Petaurus_breviceps,0.831608655,106.3,88.4,-0.080081,0.080081,dwarfism,LC,Faurby et al. 2020,Helgen 2007,yes,
Diprotodontia,Petaurus_norfolcensis,,,1.21,230,278.3,0.08278537,0.08278537,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Rodentia,Petinomys_crinitus,Basilan: Dinagat: Mindanao: Siargao,Petinomys_genibarbis,1.027272727,110,113,0.011685758,0.011685758,gigantism,LC,Faurby et al. 2020,L. R. Heaney personal communication,yes,
Rodentia,Petinomys_lugens,Siberut: Sipora: North Pagai,Petinomys_hageni,1.115979381,388,433,0.047656171,0.047656171,gigantism,VU,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Rodentia,Petinomys_setosus,,,1.122523307,44.66835922,50.1412743,0.050195367,0.050195367,gigantism,VU,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Petrogale_lateralis,,,0.778667056,3400,2647.467991,-0.108648199,0.108648199,dwarfism,VU,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Petrogale_rothschildi,,,0.666666667,5100,3400,-0.176091259,0.176091259,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Phalanger_alexandrae,Gebe,Phalanger_ornatus,,,2500,,,,EN,Faurby et al. 2020,IUCN 2021. The IUCN Red List of Threatened Species. Version 2021-1.,yes,
Diprotodontia,Phalanger_carmelitae,New Guinea,,,,2047.5,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Phalanger_gymnotis,New Guinea: Aru Islands: Yapen: Misool: Salawati,,,,2705,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Phalanger_intercastellanus,New Guinea: D'Entrecasteaux: Trobriand Islands: Louisade Archipelago,,,,1747.5,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Phalanger_lullulae,Woodlark: Alcester,Phalanger_orientalis,0.752720398,2168.8,1632.5,-0.123366315,0.123366315,dwarfism,EN,Faurby et al. 2020,Hamilton & Springer 1999,yes,
Diprotodontia,Phalanger_matabiru,Ternate: Tidore,,,,1969.2,,,,VU,Faurby et al. 2020,,yes,
Diprotodontia,Phalanger_matanim,New Guinea,,,,1550,,,,CR,Faurby et al. 2020,,yes,
Diprotodontia,Phalanger_orientalis,Timor: Wetar: Leti: Kai: Moluccan: Misool: Waigeo: Batanta: Salawati: New Guinea: Bismarck Archipelago: New Britain: New Ireland: Solomon Islands,,,,2168.8,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Phalanger_ornatus,Halmahera: Batjan: Morotai ,,,,1787.5,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Phalanger_rothschildi,Obi: Bisa: Obi-Latoe,,,,1365,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Phalanger_sericeus,New Guinea,,,,2003,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Phalanger_vestitus,New Guinea,,,,1850,,,,LC,Faurby et al. 2020,,yes,
Primates,Phaner_electromontis,Madagascar,,,,383.6,,,,EN,Faurby et al. 2020,,yes,
Primates,Phaner_furcifer,Madagascar,,,,400,,,,EN,Faurby et al. 2020,,yes,
Primates,Phaner_pallescens,Madagascar,,,,327,,,,EN,Faurby et al. 2020,,yes,
Primates,Phaner_parienti,Madagascar,,,,363.4,,,,EN,Faurby et al. 2020,,yes,
Chiroptera,Pharotis_imogene,New Guinea,,,,10,,,,CR,Faurby et al. 2020,,yes,
Dasyuromorphia,Phascolosorex_doriae,New Guinea,,,,168.3,,,,LC,Faurby et al. 2020,,yes,
Dasyuromorphia,Phascolosorex_dorsalis,New Guinea,,,,138.5,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Phloeomys_cumingi,Luzon: Catanduanes: Marinduque,,,,2000,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Phloeomys_pallidus,Luzon,,,,2500,,,,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,,yes,
Rodentia,Phyllomys_thomasi,Ilha de São Sebastião,Phyllomys_nigrispinus,2.497547927,224.3,560.2,0.397513831,0.397513831,gigantism,EN,McCreless et al. 2016,Leite 2003,yes,
Chiroptera,Phyllonycteris_aphylla,Jamaica,,,,24.5,,,,CR,Faurby et al. 2020,,yes,
Chiroptera,Phyllonycteris_poeyi,Cuba: Isle of Pines: Hispaniola,,,,22,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Phyllops_falcatus,Cuba: Hispaniola,,,,19.5,,,,LC,Faurby et al. 2020,,yes,
Primates,Piliocolobus_kirkii,,,0.931722275,8300,7733.294879,-0.030713522,0.030713522,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Piliocolobus_pennantii,,,1.208487289,7026.14038,8570.288986,0.082242087,0.082242087,gigantism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Chiroptera,Pipistrellus_angulatus,Biak: New Guinea: Bismarck Archipelago: Milne Bay Province: Solomon Islands,,,,3.3,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Pipistrellus_collinus,New Guinea,,,,6,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Pipistrellus_endoi,Honshu: Shikoku,,,,4.2,,,,NT,Faurby et al. 2020,,yes,
Chiroptera,Pipistrellus_imbricatus,Sarawak: Java: Kangean: Bali: Lombok: Sulawesi: Lesser Sunda,,,,5.7,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Pipistrellus_kuhlii,,,1,6.04,6.04,0,0,no_change,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Pipistrellus_maderensis,Madeira: La Palma: La Gomera: El Hierro: Tenerife,Pipistrellus_kuhli,1.186440678,5.9,7,0.074246028,0.074246028,gigantism,VU,Faurby et al. 2020,Jesus et al. 2013,yes,
Chiroptera,Pipistrellus_papuanus,Seram: Ambon: Batanta: Dolak: Biak: Supiori: Salawati: Aru Islands: Kai: New Guinea: Fergusson: Samarai: New Britain: New Ireland: Bougainville,,,,4.7,,,,LC,Faurby et al. 2020,,yes,
Chiroptera,Pipistrellus_pipistrellus,,,0.9935,5.28,5.24568,-0.002832129,0.002832129,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Chiroptera,Pipistrellus_wattsi,New Guinea,,,,3.3,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Pithecheir_melanurus,Java,,,,108,,,,VU,Faurby et al. 2020,,yes,
Rodentia,Plagiodontia_aedium,Hispaniola,mean_body_mass_of_South_American_echimyids,4.171875,320,1335,0.620331287,0.620331287,gigantism,EN,Turvey et al. 2021,Woods et al. 2021,yes,
Dasyuromorphia,Planigale_novaeguineae,New Guinea,Planigale_maculata,1.354545455,11,14.9,0.131793583,0.131793583,gigantism,LC,Faurby et al. 2020,García-Navas et al. 2020,yes,
Chiroptera,Plecotus_sacrimontis,Hokkaido: Honshu: Shikoku: Kyushu: Rebun: Rishiri,Plecotus_ognevi,1.107142857,8.4,9.3,0.044203662,0.044203662,gigantism,LC,Faurby et al. 2020,Spitzenberger et al. 2006,yes,
Chiroptera,Plecotus_sardus,Sardinia,Plecotus_auritus,1.256410256,7.8,9.8,0.099131473,0.099131473,gigantism,VU,Faurby et al. 2020,Mucedda et al. 2002,yes,
Chiroptera,Plecotus_taivanus,Taiwan,Plecotus_homochrous,1.167678655,5.9948,7,0.067323341,0.067323341,gigantism,NT,Yoshiyuki 1991,Spitzenberger et al. 2006,yes,Body mass of P homochrous estimated by using body length in Fukui et al. 2020 and equation for Chiroptera in Nowak R. M. & Walker E. P. Walker's Mammals of the World. Vol. 1 (JHU Press 1999)
Chiroptera,Plecotus_teneriffae,Tenerife: La Palma: El Hierro,Plecotus_kolombatovici,1.142857143,7,8,0.057991947,0.057991947,gigantism,VU,Faurby et al. 2020,Spitzenberger et al. 2006,yes,
Eulipotyphla,Podogymnura_aureospinula,Dinagat: Bucas Grande: Siargao,Echinosorex_gymnura,0.258098224,957,247,-0.588214985,0.588214985,dwarfism,EN,Faurby et al. 2020,Heaney & Morgan 1982,yes,
Eulipotyphla,Podogymnura_truei,Mindanao,Echinosorex_gymnura,0.073145246,957,70,-1.135813898,1.135813898,dwarfism,LC,L. R. Heaney based on specimens and data in FMNH Division of Mammals,Heaney & Morgan 1982,yes,
Rodentia,Pogonomelomys_brassi,New Guinea,,,,178.8,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Pogonomelomys_bruijnii,New Guinea: Salawati,,,,178.8,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Pogonomelomys_mayeri,New Guinea,,,,109.7,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Pogonomys_fergussoniensis,Fergusson: Goodenough: Normanby,,,,128.5,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Pogonomys_loriae,New Guinea,,,,95.1,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Pogonomys_sylvestris,New Guinea,,,,43.4,,,,LC,Faurby et al. 2020,,yes,
Primates,Pongo_abelii,Sumatra,,,,56750,,,,CR,Faurby et al. 2020,,yes,
Primates,Pongo_pygmaeus,,,0.959691402,37153.52291,35655.91651,-0.017868396,0.017868396,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Carnivora,Potos_flavus,,,0.936,2480,2321.28,-0.028724151,0.028724151,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Primates,Presbytis_chrysomelas,Borneo,,,,7000,,,,CR,Faurby et al. 2020,,yes,
Primates,Presbytis_comata,Java,,,,6250,,,,EN,Faurby et al. 2020,,yes,
Primates,Presbytis_femoralis,,,1.095,7000,7665,0.039414119,0.039414119,gigantism,VU,Island populations dataset in this study,,no,Median values from population dataset
Primates,Presbytis_frontata,Borneo,,,,6050,,,,VU,Faurby et al. 2020,,yes,
Primates,Presbytis_hosei,Borneo,,,,6500,,,,VU,Faurby et al. 2020,,yes,
Primates,Presbytis_melalophos,,,0.795,6470,5143.65,-0.099632871,0.099632871,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Presbytis_natunae,,,0.819197337,6229.268293,5103,-0.086611468,0.086611468,dwarfism,VU,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Presbytis_potenziani,,,1.130069775,3194.522281,3850.378298,0.053105259,0.053105259,gigantism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Presbytis_siberu,,,0.870564997,3194.522281,2781.039279,-0.060198799,0.060198799,dwarfism,EN,Island populations dataset in this study,,yes,Median values from population dataset
Primates,Presbytis_thomasi,Sumatra,,,,6690,,,,VU,Faurby et al. 2020,,yes,
Carnivora,Prionailurus_bengalensis,,,0.852,2790,2432.88,-0.069560405,0.069560405,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Prionailurus_planiceps,,,0.936206829,6760.829754,6329.534983,-0.028628195,0.028628195,dwarfism,EN,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Prionodon_linsang,,,0.764,685,523.34,-0.116906641,0.116906641,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Procyon_lotor,,,0.915,6370,5828.55,-0.038578906,0.038578906,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Carnivora,Procyon_pygmaeus,,,0.763875984,4627.209357,3534.614101,-0.116977144,0.116977144,dwarfism,CR,Island populations dataset in this study,,yes,Median values from population dataset
Rodentia,Proechimys_semispinosus,,,0.815279623,436.66,356,-0.088693412,0.088693412,dwarfism,LC,Island populations dataset in this study,,no,Median values from population dataset
Primates,Prolemur_simus,Madagascar,,,,2350,,,,CR,Faurby et al. 2020,,yes,
Primates,Propithecus_candidus,Madagascar,,,,5750,,,,CR,Faurby et al. 2020,,yes,
Primates,Propithecus_coquereli,Madagascar,,,,3900,,,,CR,Faurby et al. 2020,,yes,
Primates,Propithecus_coronatus,Madagascar,,,,3900,,,,CR,Faurby et al. 2020,,yes,
Primates,Propithecus_deckenii,Madagascar,,,,4000,,,,CR,Faurby et al. 2020,,yes,
Primates,Propithecus_diadema,Madagascar,,,,5250,,,,CR,Faurby et al. 2020,,yes,
Primates,Propithecus_edwardsi,Madagascar,,,,5750,,,,EN,Faurby et al. 2020,,yes,
Primates,Propithecus_perrieri,Madagascar,,,,4350,,,,CR,Faurby et al. 2020,,yes,
Primates,Propithecus_tattersalli,Madagascar,,,,3500,,,,CR,Faurby et al. 2020,,yes,
Primates,Propithecus_verreauxi,Madagascar,,,,3250,,,,CR,Faurby et al. 2020,,yes,
Rodentia,Prosciurillus_leucomus,Sulawesi: Pulau Lembeh,,,,128,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Prosciurillus_murinus,Sulawesim: Talisei: Lembeh: Sangihe,,,,72.9,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Prosciurillus_rosenbergii,Sangir,,,,222.6,,,,LC,Faurby et al. 2020,,yes,
Rodentia,Prosciurillus_weberi,Sulawesi,,,,132.9,,,,EN,Faurby et al. 2020,,yes,
Rodentia,Protochromys_fellowsi,New Guinea,,,,81,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Pseudocheirus_peregrinus,,,1.399,894,1250.706,0.145817714,0.145817714,gigantism,LC,Island populations dataset in this study,,no,Median values from population dataset
Diprotodontia,Pseudochirops_albertisii,New Guinea: Yapen,,,,784.9,,,,NT,Faurby et al. 2020,,yes,
Diprotodontia,Pseudochirops_corinnae,New Guinea,,,,1123,,,,NT,Faurby et al. 2020,,yes,
Diprotodontia,Pseudochirops_coronatus,New Guinea,,,,1500,,,,VU,Faurby et al. 2020,,yes,
Diprotodontia,Pseudochirops_cupreus,New Guinea,,,,1724.5,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Pseudochirulus_canescens,New Guinea: Salawati: Yapen,,,,300,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Pseudochirulus_caroli,New Guinea,,,,440,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Pseudochirulus_forbesi,New Guinea,,,,649,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Pseudochirulus_larvatus,New Guinea,,,,948.8,,,,LC,Faurby et al. 2020,,yes,
Diprotodontia,Pseudochirulus_mayeri,New Guinea,,,,151.8,,,,LC,Faurby et al. 2020,,yes,
